,,,,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals\,
,,,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves\,
Season,Name,Age,Tm,Lg,Pos,G,MP,PPG,FGA,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.\,
2015-16,Stephen Curry,27,GSW,NBA,PG,79,2700,30.1,1598,0.504,17.4,0.446,0.225,0.084,0.048,0.088,0.554,0.566,0.696,0.422,0.447,0.443,0.454,0.372,0.004,7,0.547,0.129,0.482,11,2\,
2015-16,James Harden,26,HOU,NBA,SG,82,3125,29,1617,0.439,14.4,0.594,0.246,0.124,0.105,0.12,0.406,0.494,0.65,0.328,0.426,0.402,0.359,0.181,0.011,16,0.521,0.094,0.274,0,0\,
2015-16,LeBron James,31,CLE,NBA,SF,76,2709,25.3,1416,0.52,9.6,0.801,0.459,0.119,0.093,0.129,0.199,0.573,0.722,0.361,0.348,0.404,0.309,0.378,0.083,111,0.598,0.117,0.273,0,0\,
2015-16,Kevin Durant,27,OKC,NBA,SF,72,2578,28.2,1381,0.505,14.6,0.652,0.212,0.098,0.182,0.161,0.348,0.569,0.737,0.437,0.542,0.455,0.387,0.518,0.081,106,0.64,0.037,0.389,0,0\,
2015-16,DeMarcus Cousins,25,SAC,NBA,C,65,2246,26.9,1332,0.451,9.2,0.842,0.36,0.286,0.035,0.161,0.158,0.473,0.595,0.412,0.255,0.358,0.333,0.55,0.062,73,1,0.033,0.286,1,0\,
2014-15,James Harden,25,HOU,NBA,SG,81,2981,27.4,1470,0.44,14,0.622,0.31,0.107,0.074,0.131,0.378,0.48,0.618,0.291,0.431,0.337,0.375,0.166,0.023,33,0.51,0.108,0.467,1,0\,
2014-15,LeBron James,30,CLE,NBA,SF,69,2493,25.3,1279,0.488,12.6,0.735,0.332,0.127,0.116,0.159,0.265,0.536,0.722,0.414,0.356,0.377,0.354,0.315,0.072,88,0.467,0.115,0.385,1,0\,
2014-15,DeMarcus Cousins,24,SAC,NBA,C,59,2013,24.1,1066,0.467,7.7,0.992,0.419,0.257,0.078,0.237,0.008,0.469,0.633,0.318,0.349,0.383,0.25,0.52,0.072,72,1,0.125,0,0,0\,
2014-15,Anthony Davis,21,NOP,NBA,PF,68,2455,24.4,1199,0.535,9.5,0.99,0.354,0.169,0.178,0.289,0.01,0.54,0.734,0.433,0.451,0.419,0.083,0.715,0.135,150,1,0.333,0,3,0\,
2014-15,Russell Westbrook,26,OKC,NBA,PG,67,2302,28.1,1471,0.426,11.7,0.804,0.346,0.105,0.169,0.184,0.196,0.457,0.58,0.31,0.402,0.363,0.299,0.185,0.036,48,0.512,0.052,0.267,2,0\,
2013-14,James Harden,24,HOU,NBA,SG,73,2777,25.4,1205,0.456,14.8,0.599,0.273,0.122,0.079,0.125,0.401,0.515,0.632,0.395,0.463,0.411,0.366,0.223,0.039,45,0.588,0.066,0.375,1,0\,
2013-14,LeBron James,29,MIA,NBA,PF,77,2902,27.1,1353,0.567,11.4,0.774,0.399,0.123,0.084,0.168,0.226,0.622,0.796,0.554,0.404,0.366,0.379,0.395,0.101,134,0.534,0.144,0.568,0,0\,
2013-14,Kevin Durant,25,OKC,NBA,SF,81,3122,32,1688,0.503,13.8,0.709,0.223,0.15,0.191,0.145,0.291,0.549,0.798,0.417,0.441,0.445,0.391,0.447,0.088,146,0.557,0.053,0.423,1,0\,
2013-14,Carmelo Anthony,29,NYK,NBA,PF,77,2982,27.4,1643,0.452,15.2,0.747,0.191,0.078,0.199,0.279,0.253,0.469,0.589,0.32,0.443,0.447,0.402,0.292,0.022,34,0.713,0.08,0.364,5,0\,
2013-14,Kevin Love,25,MIN,NBA,PF,77,2797,26.1,1421,0.457,14.3,0.645,0.253,0.167,0.091,0.134,0.355,0.502,0.669,0.412,0.354,0.4,0.376,0.572,0.023,31,0.858,0.095,0.396,5,0\,
2012-13,James Harden,23,HOU,NBA,SG,78,2985,25.9,1337,0.438,13.7,0.636,0.308,0.149,0.049,0.13,0.364,0.477,0.65,0.296,0.318,0.333,0.368,0.241,0.035,46,0.475,0.033,0.25,3,1\,
2012-13,LeBron James,28,MIA,NBA,PF,76,2877,26.8,1354,0.565,11.2,0.812,0.373,0.133,0.105,0.202,0.188,0.602,0.776,0.494,0.415,0.447,0.406,0.378,0.109,144,0.553,0.161,0.488,0,0\,
2012-13,Kevin Durant,24,OKC,NBA,SF,81,3119,28.1,1433,0.51,13.3,0.767,0.22,0.166,0.195,0.186,0.233,0.539,0.737,0.471,0.475,0.432,0.416,0.449,0.083,115,0.799,0.06,0.4,0,0\,
2012-13,Carmelo Anthony,28,NYK,NBA,PF,67,2482,28.7,1489,0.449,14.3,0.722,0.262,0.074,0.159,0.227,0.278,0.476,0.556,0.364,0.447,0.441,0.379,0.279,0.022,31,0.764,0.123,0.294,5,0\,
2012-13,Kobe Bryant,34,LAL,NBA,SG,78,3013,27.3,1595,0.463,14.4,0.745,0.211,0.147,0.15,0.237,0.255,0.51,0.693,0.462,0.471,0.402,0.324,0.269,0.033,51,0.621,0.128,0.327,4,0\,
2011-12,LeBron James,27,MIA,NBA,SF,62,2326,27.1,1169,0.531,11.5,0.873,0.329,0.136,0.135,0.272,0.127,0.556,0.758,0.484,0.481,0.384,0.362,0.36,0.092,104,0.519,0.121,0.333,0,0\,
2011-12,Kevin Durant,23,OKC,NBA,SF,66,2546,28,1297,0.496,13.8,0.735,0.213,0.157,0.184,0.182,0.265,0.535,0.739,0.448,0.424,0.483,0.387,0.396,0.082,102,0.805,0.047,0.5,1,0\,
2011-12,Russell Westbrook,23,OKC,NBA,PG,66,2331,23.6,1266,0.457,11.8,0.845,0.291,0.152,0.19,0.212,0.155,0.482,0.631,0.358,0.404,0.437,0.316,0.182,0.049,48,0.516,0.056,0.364,2,0\,
2011-12,Kevin Love,23,MIN,NBA,PF,55,2145,26,1059,0.448,12.3,0.734,0.335,0.159,0.082,0.158,0.266,0.475,0.6,0.393,0.287,0.389,0.372,0.482,0.04,39,0.924,0.092,0.308,2,0\,
2011-12,Kobe Bryant,33,LAL,NBA,SG,58,2232,27.9,1336,0.43,15,0.785,0.132,0.164,0.197,0.293,0.215,0.464,0.688,0.434,0.403,0.422,0.303,0.409,0.023,28,0.644,0.108,0.355,1,0\,
2010-11,LeBron James,26,MIA,NBA,SF,79,3063,26.7,1485,0.51,12.7,0.812,0.284,0.172,0.094,0.262,0.188,0.552,0.744,0.459,0.443,0.445,0.33,0.284,0.068,98,0.609,0.211,0.322,5,1\,
2010-11,Kevin Durant,22,OKC,NBA,SF,78,3038,27.7,1538,0.462,15.5,0.731,0.162,0.113,0.16,0.296,0.269,0.504,0.795,0.414,0.439,0.413,0.35,0.565,0.083,125,0.855,0.063,0.385,0,0\,
2010-11,Carmelo Anthony,26,NYK/DEN,NBA,SF,77,2751,25.6,1503,0.455,12.4,0.833,0.321,0.101,0.124,0.286,0.167,0.47,0.594,0.309,0.353,0.44,0.378,0.418,0.037,53,0.842,0.171,0.372,2,0\,
2010-11,Kobe Bryant,32,LAL,NBA,SG,82,2779,25.3,1639,0.451,14.5,0.783,0.152,0.19,0.192,0.249,0.217,0.487,0.639,0.49,0.519,0.368,0.323,0.325,0.023,38,0.652,0.121,0.326,2,0\,
2010-11,Dwyane Wade,29,MIA,NBA,SG,76,2823,25.5,1384,0.5,10.4,0.851,0.366,0.193,0.113,0.179,0.149,0.534,0.686,0.483,0.359,0.387,0.306,0.37,0.082,102,0.333,0.146,0.333,1,0\,
2009-10,LeBron James,25,CLE,NBA,SF,76,2966,29.7,1528,0.503,13.4,0.747,0.342,0.082,0.061,0.262,0.253,0.56,0.745,0.468,0.344,0.398,0.333,0.369,0.08,117,0.341,0.111,0.395,4,0\,
2009-10,Kevin Durant,21,OKC,NBA,SF,82,3239,30.1,1668,0.476,13.2,0.79,0.245,0.107,0.203,0.235,0.21,0.506,0.703,0.444,0.445,0.38,0.365,0.471,0.082,133,0.773,0.048,0.235,1,0\,
2009-10,Carmelo Anthony,25,DEN,NBA,SF,69,2634,28.2,1502,0.458,11.1,0.875,0.362,0.099,0.125,0.291,0.125,0.478,0.595,0.324,0.444,0.4,0.316,0.375,0.041,57,0.847,0.107,0.3,0,0\,
2009-10,Kobe Bryant,31,LAL,NBA,SG,73,2835,27,1569,0.456,13.5,0.808,0.212,0.132,0.221,0.243,0.192,0.487,0.581,0.449,0.483,0.429,0.329,0.368,0.025,36,0.636,0.1,0.367,2,0\,
2009-10,Dwyane Wade,28,MIA,NBA,SG,77,2792,26.6,1511,0.476,11.2,0.839,0.366,0.106,0.124,0.244,0.161,0.509,0.682,0.45,0.353,0.356,0.3,0.279,0.081,115,0.26,0.099,0.208,4,0\,
2008-09,LeBron James,24,CLE,NBA,SF,81,3054,28.4,1613,0.489,13.4,0.762,0.333,0.092,0.074,0.263,0.238,0.535,0.728,0.453,0.286,0.388,0.344,0.318,0.083,128,0.424,0.107,0.341,7,0\,
2008-09,Kobe Bryant,30,LAL,NBA,SG,82,2960,26.8,1712,0.467,14,0.804,0.203,0.12,0.181,0.299,0.196,0.496,0.664,0.461,0.448,0.424,0.351,0.326,0.036,59,0.644,0.086,0.414,1,0\,
2008-09,Dwyane Wade,27,MIA,NBA,SG,79,3048,30.2,1739,0.491,12.3,0.84,0.334,0.084,0.094,0.328,0.16,0.524,0.664,0.479,0.445,0.416,0.317,0.253,0.082,128,0.295,0.151,0.262,8,0\,
2008-09,Danny Granger,25,IND,NBA,SF,67,2424,25.8,1277,0.447,15.8,0.648,0.198,0.103,0.104,0.242,0.352,0.47,0.609,0.379,0.391,0.43,0.404,0.373,0.016,20,0.951,0.064,0.448,1,0\,25.8\
2008-09,Dirk Nowitzki,30,DAL,NBA,PF,81,3050,25.9,1616,0.479,13.8,0.895,0.144,0.085,0.327,0.339,0.105,0.493,0.601,0.401,0.489,0.474,0.359,0.52,0.009,14,0.967,0.041,0,0,0\,
2007-08,LeBron James,23,CLE,NBA,SF,75,3027,30,1642,0.484,12.2,0.781,0.373,0.09,0.08,0.238,0.219,0.531,0.706,0.426,0.303,0.372,0.315,0.333,0.069,109,0.398,0.095,0.353,2,0\,
2007-08,Carmelo Anthony,23,DEN,NBA,SF,77,2806,25.7,1481,0.492,10.9,0.889,0.375,0.084,0.146,0.285,0.111,0.509,0.65,0.323,0.366,0.45,0.354,0.554,0.088,123,0.966,0.098,0.375,8,0\,
2007-08,Kobe Bryant,29,LAL,NBA,SG,82,3192,28.3,1690,0.459,14.4,0.754,0.246,0.087,0.129,0.292,0.246,0.49,0.637,0.544,0.436,0.374,0.361,0.333,0.049,80,0.68,0.07,0.414,6,0\,
2007-08,Allen Iverson,32,DEN,NBA,SG,82,3424,26.4,1556,0.458,11.8,0.823,0.303,0.136,0.154,0.23,0.177,0.482,0.578,0.436,0.429,0.416,0.345,0.222,0.001,2,0.811,0.138,0.316,2,0\,
2007-08,Amare Stoudemire,25,PHO,NBA,C,79,2677,25.2,1211,0.59,7,0.974,0.453,0.229,0.123,0.169,0.026,0.601,0.734,0.458,0.53,0.488,0.161,0.701,0.182,211,0.4,0.29,0.333,1,0\,
2006-07,LeBron James,22,CLE,NBA,SF,78,3190,27.3,1621,0.476,12.2,0.809,0.333,0.125,0.111,0.241,0.191,0.513,0.725,0.406,0.361,0.346,0.319,0.321,0.068,108,0.495,0.145,0.444,5,1\,
2006-07,Carmelo Anthony,22,DEN,NBA,SF,65,2486,28.9,1453.0,0.476,10,0.897,0.422,0.081,0.114,0.281,0.103,0.499,0.641,0.407,0.333,0.38,0.268,0.584,0.115,157,0.875,0.121,0.333,2,0\,
2006-07,Kobe Bryant,28,LAL,NBA,SG,77,3140,31.6,1757,0.463,14.5,0.773,0.223,0.09,0.14,0.321,0.227,0.497,0.619,0.468,0.488,0.426,0.344,0.351,0.038,59,0.642,0.08,0.375,2,0\,
2006-07,Gilbert Arenas,25,WAS,NBA,PG,74,2942,28.4,1548,0.418,16.2,0.623,0.242,0.048,0.066,0.267,0.377,0.459,0.572,0.347,0.353,0.402,0.351,0.251,0.006,9,0.58,0.087,0.294,2,0\,
2006-07,Michael Redd,27,MIL,NBA,SF,53,2036,26.7,1025,0.465,13.2,0.701,0.305,0.103,0.109,0.183,0.299,0.501,0.636,0.415,0.438,0.362,0.382,0.486,0.012,10,0.829,0.301,0.457,0,0\,
2005-06,LeBron James,21,CLE,NBA,SF,79,3361,31.4,1823,0.48,12.4,0.792,0.353,0.092,0.094,0.253,0.208,0.518,0.689,0.411,0.304,0.398,0.335,0.303,0.065,114,0.417,0.185,0.343,5,0\,
2005-06,Kobe Bryant,27,LAL,NBA,SG,80,3277,35.4,2173,0.45,15.1,0.762,0.2,0.083,0.148,0.331,0.238,0.482,0.598,0.494,0.455,0.421,0.347,0.377,0.029,59,0.706,0.077,0.35,3,0\,
2005-06,Dwyane Wade,24,MIA,NBA,SG,75,2892,27.2,1413,0.495,9.9,0.946,0.386,0.142,0.132,0.287,0.054,0.513,0.661,0.485,0.366,0.397,0.171,0.334,0.115,152,0.692,0.237,0.167,10,0\,
2005-06,Allen Iverson,30,PHI,NBA,PG,72,3103,33,1822,0.447,11.4,0.878,0.295,0.13,0.19,0.262,0.122,0.465,0.549,0.435,0.473,0.379,0.323,0.199,0.002,3,0.667,0.139,0.29,0,0\,
2005-06,Gilbert Arenas,24,WAS,NBA,PG,80,3384,29.3,1668,0.447,15.3,0.676,0.231,0.079,0.1,0.266,0.324,0.485,0.637,0.318,0.407,0.431,0.369,0.282,0.016,24,0.603,0.102,0.345,2,0\,
2004-05,LeBron James,20,CLE,NBA,SF,80,3388,27.2,1684,0.472,12.1,0.817,0.311,0.137,0.121,0.248,0.183,0.499,0.725,0.37,0.324,0.373,0.351,0.445,0.076,126,0.5,0.185,0.491,0,0\,
2004-05,Kobe Bryant,26,LAL,NBA,SG,66,2689,27.6,1324,0.433,13.9,0.708,0.272,0.113,0.124,0.199,0.292,0.472,0.606,0.427,0.36,0.384,0.339,0.247,0.045,53,0.664,0.127,0.327,6,0\,
2004-05,Dirk Nowitzki,26,DAL,NBA,PF,78,3020,26.1,1445,0.459,14.5,0.842,0.181,0.072,0.203,0.386,0.158,0.47,0.637,0.452,0.41,0.427,0.399,0.491,0.035,48,0.802,0.105,0.333,2,0\,
2004-05,Allen Iverson,29,PHI,NBA,PG,75,3174,30.7,1818,0.424,12.2,0.814,0.313,0.095,0.154,0.252,0.186,0.451,0.548,0.434,0.386,0.376,0.308,0.169,0.002,3,0.567,0.098,0.424,1,0\,
2004-05,Amare Stoudemire,22,PHO,NBA,C,80,2889,26,1336,0.559,7,0.988,0.46,0.209,0.155,0.165,0.012,0.564,0.708,0.412,0.449,0.459,0.188,0.597,0.195,237,0.667,0.188,0.333,3,0\,
2003-04,Kobe Bryant,25,LAL,NBA,SG,65,2447,24,1178,0.438,11.9,0.816,0.319,0.147,0.131,0.219,0.184,0.463,0.609,0.341,0.39,0.376,0.327,0.42,0.049,51,0.775,0.152,0.273,6,0\,
2003-04,Tracy McGrady,24,ORL,NBA,SG,67,2675,28,1566,0.417,16.8,0.672,0.192,0.042,0.073,0.365,0.328,0.455,0.58,0.303,0.4,0.418,0.339,0.457,0.036,53,0.609,0.043,0.364,0,0\,
2003-04,Paul Pierce,26,BOS,NBA,SG,80,3099,23,1497,0.402,15,0.743,0.214,0.074,0.149,0.306,0.257,0.438,0.564,0.27,0.386,0.415,0.299,0.446,0.026,36,0.791,0.083,0.156,4,0\,
2003-04,Peja Stojakovic,26,SAC,NBA,SF,81,3264,24.2,1386,0.48,15.7,0.6,0.22,0.069,0.091,0.22,0.4,0.511,0.672,0.396,0.405,0.43,0.433,0.706,0.015,20,0.888,0.305,0.414,1,0\,
2003-04,Kevin Garnett,27,MIN,NBA,PF,82,3231,24.2,1611,0.499,11.2,0.973,0.228,0.184,0.24,0.32,0.027,0.506,0.677,0.455,0.46,0.448,0.256,0.663,0.07,111,0.818,0,,1,0\,
2002-03,Kobe Bryant,24,LAL,NBA,SG,82,3401,30,1924,0.451,13.9,0.832,0.215,0.106,0.188,0.321,0.168,0.465,0.642,0.426,0.362,0.42,0.383,0.364,0.063,116,0.613,0.096,0.355,6,0\,
2002-03,Allen Iverson,27,PHI,NBA,SG,82,3485,27.6,1940,0.414,13,0.844,0.28,0.077,0.151,0.335,0.156,0.44,0.537,0.38,0.341,0.417,0.277,0.385,0.005,10,0.786,0.125,0.237,1,1\,
2002-03,Tracy McGrady,23,ORL,NBA,SG,75,2954,32.1,1813,0.457,14.4,0.753,0.259,0.068,0.097,0.33,0.247,0.481,0.586,0.398,0.423,0.431,0.386,0.317,0.046,79,0.503,0.047,0.286,1,0\,
2002-03,Paul Pierce,25,BOS,NBA,SG,79,3096,25.9,1592,0.416,13.6,0.754,0.287,0.074,0.143,0.251,0.246,0.454,0.637,0.246,0.388,0.343,0.302,0.415,0.032,46,0.703,0.09,0.229,5,0\,
2002-03,Shaquille O'Neal,30,LAL,NBA,C,67,2535,27.5,1211,0.574,3.6,1,0.537,0.393,0.068,0.002,0,0.574,0.745,0.403,0.232,0,,0.655,0.221,251,,,,0,0\,
2001-02,Allen Iverson,26,PHI,NBA,SG,60,2622,31.4,1669,0.398,13.2,0.839,0.239,0.107,0.192,0.301,0.161,0.419,0.564,0.38,0.299,0.394,0.291,0.375,0.005,9,0.782,0.086,0.522,0,0\,
2001-02,Tracy McGrady,22,ORL,NBA,SG,76,2912,25.6,1586,0.451,12.3,0.822,0.307,0.122,0.114,0.278,0.178,0.47,0.624,0.392,0.409,0.358,0.364,0.391,0.079,114,0.602,0.074,0.381,6,0\,
2001-02,Paul Pierce,24,BOS,NBA,SG,82,3302,26.1,1598,0.442,14.9,0.675,0.26,0.071,0.118,0.225,0.325,0.461,0.6,0.289,0.354,0.411,0.404,0.543,0.033,50,0.767,0.11,0.281,6,1\,
2001-02,Shaquille O'Neal,29,LAL,NBA,C,67,2422,27.2,1229,0.579,3.8,0.999,0.509,0.409,0.078,0.002,0.001,0.58,0.744,0.447,0.219,0,0,0.612,0.216,252,,0,,0,0\,
2001-02,Tim Duncan,25,SAS,NBA,PF,82,3329,25.5,1504,0.508,7.6,0.993,0.311,0.337,0.256,0.089,0.007,0.511,0.714,0.45,0.405,0.336,0.1,0.464,0.071,102,1,0.1,1,0,0\,
2000-01,Kobe Bryant,22,LAL,NBA,SG,68,2783,28.5,1510,0.464,12.8,0.868,0.24,0.134,0.189,0.303,0.132,0.489,0.653,0.409,0.462,0.41,0.305,0.384,0.035,49,0.77,0.12,0.375,4,0\,
2000-01,Allen Iverson,25,PHI,NBA,SG,71,2979,31.1,1813,0.42,12.7,0.831,0.223,0.175,0.185,0.248,0.169,0.441,0.686,0.268,0.33,0.423,0.32,0.37,0.004,7,0.786,0.108,0.364,1,0\,
2000-01,Shaquille O'Neal,28,LAL,NBA,C,74,2924,28.7,1422,0.572,4.7,0.999,0.429,0.452,0.113,0.005,0.001,0.573,0.792,0.417,0.375,0.286,0,0.645,0.16,219,,0,,1,0\,
2000-01,Jerry Stackhouse,26,DET,NBA,SG,80,3215,29.8,1927,0.402,14.5,0.755,0.231,0.049,0.179,0.295,0.245,0.418,0.592,0.234,0.348,0.355,0.351,0.431,0.025,45,0.777,0.288,0.338,0,0\,
2000-01,Vince Carter,24,TOR,NBA,SF,75,2979,27.6,1656,0.46,14.1,0.76,0.245,0.1,0.124,0.29,0.24,0.477,0.613,0.337,0.432,0.428,0.408,0.558,0.028,44,0.772,0.169,0.403,1,0\,